"Factor","Chi_Square_p_value","Cramers_V"
"ag16g10",5.17828362522282e-07,0.0743020005679965
"Sex",4.03905457868024e-07,0.0588617051852113
"origin2",0.000549507221112522,0.0513844919983498
"topqual3",0.00223964897592583,0.0534740718478204
"RELIGSC",1.58508234699159e-05,0.0715727626883401
"HHINC3",0.451310496366445,0.148111604204493
"eqv5",2.95905091114767e-15,0.108906289554405
"MVPATert",1.02273474456145e-34,0.152598647497752
"Anxiet17g3",0,0.518045863280686
"qimd",2.36769564709382e-13,0.0931990887613391
